,session,method,gender,emotion,path
164,3,script,M,ang,164_3_script_M_ang.wav
165,4,script,F,ang,165_4_script_F_ang.wav
166,4,script,F,ang,166_4_script_F_ang.wav
167,4,script,F,ang,167_4_script_F_ang.wav
168,4,impro,F,ang,168_4_impro_F_ang.wav
169,4,impro,F,ang,169_4_impro_F_ang.wav
170,4,impro,F,ang,170_4_impro_F_ang.wav
171,1,script,M,ang,171_1_script_M_ang.wav
172,1,script,M,ang,172_1_script_M_ang.wav
173,1,script,M,ang,173_1_script_M_ang.wav
174,1,script,M,ang,174_1_script_M_ang.wav
175,1,script,M,ang,175_1_script_M_ang.wav
176,1,script,M,ang,176_1_script_M_ang.wav
177,4,impro,M,ang,177_4_impro_M_ang.wav
178,4,impro,M,ang,178_4_impro_M_ang.wav
179,4,impro,M,ang,179_4_impro_M_ang.wav
180,3,script,M,ang,180_3_script_M_ang.wav
181,3,script,M,ang,181_3_script_M_ang.wav
182,3,script,M,ang,182_3_script_M_ang.wav
183,2,script,F,ang,183_2_script_F_ang.wav
184,2,script,F,ang,184_2_script_F_ang.wav
185,2,script,F,ang,185_2_script_F_ang.wav
186,1,script,F,ang,186_1_script_F_ang.wav
187,1,script,F,ang,187_1_script_F_ang.wav
188,1,script,F,ang,188_1_script_F_ang.wav
189,1,script,M,ang,189_1_script_M_ang.wav
190,1,script,M,ang,190_1_script_M_ang.wav
191,1,script,M,ang,191_1_script_M_ang.wav
192,5,script,F,ang,192_5_script_F_ang.wav
193,5,script,F,ang,193_5_script_F_ang.wav
194,5,script,F,ang,194_5_script_F_ang.wav
195,1,script,M,ang,195_1_script_M_ang.wav
196,1,script,M,ang,196_1_script_M_ang.wav
197,1,script,M,ang,197_1_script_M_ang.wav
198,5,impro,F,ang,198_5_impro_F_ang.wav
199,5,impro,F,ang,199_5_impro_F_ang.wav
200,5,impro,F,ang,200_5_impro_F_ang.wav
201,5,script,M,ang,201_5_script_M_ang.wav
202,5,script,M,ang,202_5_script_M_ang.wav
203,5,script,M,ang,203_5_script_M_ang.wav
204,4,impro,F,ang,204_4_impro_F_ang.wav
205,4,impro,F,ang,205_4_impro_F_ang.wav
206,4,impro,F,ang,206_4_impro_F_ang.wav
207,2,script,M,ang,207_2_script_M_ang.wav
208,2,script,M,ang,208_2_script_M_ang.wav
209,2,script,M,ang,209_2_script_M_ang.wav
210,1,script,M,ang,210_1_script_M_ang.wav
211,1,script,M,ang,211_1_script_M_ang.wav
212,1,script,M,ang,212_1_script_M_ang.wav
213,4,script,M,ang,213_4_script_M_ang.wav
214,4,script,M,ang,214_4_script_M_ang.wav
215,4,script,M,ang,215_4_script_M_ang.wav
216,4,script,F,ang,216_4_script_F_ang.wav
217,4,script,F,ang,217_4_script_F_ang.wav
218,4,script,F,ang,218_4_script_F_ang.wav
219,5,script,M,ang,219_5_script_M_ang.wav
220,5,script,M,ang,220_5_script_M_ang.wav
221,5,script,M,ang,221_5_script_M_ang.wav
222,3,script,F,ang,222_3_script_F_ang.wav
223,3,script,F,ang,223_3_script_F_ang.wav
224,3,script,F,ang,224_3_script_F_ang.wav
225,5,script,M,ang,225_5_script_M_ang.wav
226,5,script,M,ang,226_5_script_M_ang.wav
227,5,script,M,ang,227_5_script_M_ang.wav
228,5,script,M,ang,228_5_script_M_ang.wav
229,5,script,M,ang,229_5_script_M_ang.wav
230,5,script,M,ang,230_5_script_M_ang.wav
231,4,script,M,ang,231_4_script_M_ang.wav
232,4,script,M,ang,232_4_script_M_ang.wav
233,4,script,M,ang,233_4_script_M_ang.wav
234,2,script,F,ang,234_2_script_F_ang.wav
235,2,script,F,ang,235_2_script_F_ang.wav
236,2,script,F,ang,236_2_script_F_ang.wav
237,4,script,F,ang,237_4_script_F_ang.wav
238,4,script,F,ang,238_4_script_F_ang.wav
239,4,script,F,ang,239_4_script_F_ang.wav
240,4,script,F,ang,240_4_script_F_ang.wav
241,4,script,F,ang,241_4_script_F_ang.wav
242,4,script,F,ang,242_4_script_F_ang.wav
243,5,impro,F,ang,243_5_impro_F_ang.wav
244,5,impro,F,ang,244_5_impro_F_ang.wav
245,5,impro,F,ang,245_5_impro_F_ang.wav
246,5,script,M,ang,246_5_script_M_ang.wav
247,5,script,M,ang,247_5_script_M_ang.wav
248,5,script,M,ang,248_5_script_M_ang.wav
249,1,script,F,ang,249_1_script_F_ang.wav
250,1,script,F,ang,250_1_script_F_ang.wav
251,1,script,F,ang,251_1_script_F_ang.wav
252,4,script,F,ang,252_4_script_F_ang.wav
253,4,script,F,ang,253_4_script_F_ang.wav
254,4,script,F,ang,254_4_script_F_ang.wav
255,4,script,M,ang,255_4_script_M_ang.wav
256,4,script,M,ang,256_4_script_M_ang.wav
257,4,script,M,ang,257_4_script_M_ang.wav
258,3,impro,F,ang,258_3_impro_F_ang.wav
259,3,impro,F,ang,259_3_impro_F_ang.wav
260,3,impro,F,ang,260_3_impro_F_ang.wav
261,2,script,F,ang,261_2_script_F_ang.wav
262,2,script,F,ang,262_2_script_F_ang.wav
263,2,script,F,ang,263_2_script_F_ang.wav
264,1,script,F,ang,264_1_script_F_ang.wav
265,1,script,F,ang,265_1_script_F_ang.wav
266,1,script,F,ang,266_1_script_F_ang.wav
267,4,impro,F,ang,267_4_impro_F_ang.wav
268,4,impro,F,ang,268_4_impro_F_ang.wav
269,4,impro,F,ang,269_4_impro_F_ang.wav
270,4,impro,M,ang,270_4_impro_M_ang.wav
271,4,impro,M,ang,271_4_impro_M_ang.wav
272,4,impro,M,ang,272_4_impro_M_ang.wav
273,4,impro,F,ang,273_4_impro_F_ang.wav
274,4,impro,F,ang,274_4_impro_F_ang.wav
275,4,impro,F,ang,275_4_impro_F_ang.wav
276,1,script,F,ang,276_1_script_F_ang.wav
277,1,script,F,ang,277_1_script_F_ang.wav
278,1,script,F,ang,278_1_script_F_ang.wav
279,2,script,M,ang,279_2_script_M_ang.wav
280,2,script,M,ang,280_2_script_M_ang.wav
281,2,script,M,ang,281_2_script_M_ang.wav
282,1,script,F,ang,282_1_script_F_ang.wav
283,1,script,F,ang,283_1_script_F_ang.wav
284,1,script,F,ang,284_1_script_F_ang.wav
285,2,script,M,ang,285_2_script_M_ang.wav
286,2,script,M,ang,286_2_script_M_ang.wav
287,2,script,M,ang,287_2_script_M_ang.wav
288,2,script,F,ang,288_2_script_F_ang.wav
289,2,script,F,ang,289_2_script_F_ang.wav
290,2,script,F,ang,290_2_script_F_ang.wav
291,4,impro,F,ang,291_4_impro_F_ang.wav
292,4,impro,F,ang,292_4_impro_F_ang.wav
293,4,impro,F,ang,293_4_impro_F_ang.wav
294,4,script,F,ang,294_4_script_F_ang.wav
295,4,script,F,ang,295_4_script_F_ang.wav
296,4,script,F,ang,296_4_script_F_ang.wav
297,1,script,F,ang,297_1_script_F_ang.wav
298,1,script,F,ang,298_1_script_F_ang.wav
299,1,script,F,ang,299_1_script_F_ang.wav
300,4,script,F,ang,300_4_script_F_ang.wav
301,4,script,F,ang,301_4_script_F_ang.wav
302,4,script,F,ang,302_4_script_F_ang.wav
303,4,script,M,ang,303_4_script_M_ang.wav
304,4,script,M,ang,304_4_script_M_ang.wav
305,4,script,M,ang,305_4_script_M_ang.wav
306,1,script,M,ang,306_1_script_M_ang.wav
307,1,script,M,ang,307_1_script_M_ang.wav
308,1,script,M,ang,308_1_script_M_ang.wav
309,2,impro,M,ang,309_2_impro_M_ang.wav
310,2,impro,M,ang,310_2_impro_M_ang.wav
311,2,impro,M,ang,311_2_impro_M_ang.wav
312,1,impro,F,ang,312_1_impro_F_ang.wav
313,1,impro,F,ang,313_1_impro_F_ang.wav
314,1,impro,F,ang,314_1_impro_F_ang.wav
315,5,impro,F,ang,315_5_impro_F_ang.wav
316,5,impro,F,ang,316_5_impro_F_ang.wav
317,5,impro,F,ang,317_5_impro_F_ang.wav
318,4,script,M,ang,318_4_script_M_ang.wav
319,4,script,M,ang,319_4_script_M_ang.wav
320,4,script,M,ang,320_4_script_M_ang.wav
321,2,script,M,ang,321_2_script_M_ang.wav
322,2,script,M,ang,322_2_script_M_ang.wav
323,2,script,M,ang,323_2_script_M_ang.wav
324,4,impro,M,ang,324_4_impro_M_ang.wav
325,4,impro,M,ang,325_4_impro_M_ang.wav
326,4,impro,M,ang,326_4_impro_M_ang.wav
327,4,impro,F,ang,327_4_impro_F_ang.wav
328,4,impro,F,ang,328_4_impro_F_ang.wav
329,4,impro,F,ang,329_4_impro_F_ang.wav
330,4,impro,F,ang,330_4_impro_F_ang.wav
331,4,impro,F,ang,331_4_impro_F_ang.wav
332,4,impro,F,ang,332_4_impro_F_ang.wav
333,2,impro,M,ang,333_2_impro_M_ang.wav
334,2,impro,M,ang,334_2_impro_M_ang.wav
335,2,impro,M,ang,335_2_impro_M_ang.wav
336,3,script,M,ang,336_3_script_M_ang.wav
337,3,script,M,ang,337_3_script_M_ang.wav
338,3,script,M,ang,338_3_script_M_ang.wav
339,3,impro,M,ang,339_3_impro_M_ang.wav
340,3,impro,M,ang,340_3_impro_M_ang.wav
341,3,impro,M,ang,341_3_impro_M_ang.wav
342,5,script,F,ang,342_5_script_F_ang.wav
343,5,script,F,ang,343_5_script_F_ang.wav
344,5,script,F,ang,344_5_script_F_ang.wav
345,3,script,F,ang,345_3_script_F_ang.wav
346,3,script,F,ang,346_3_script_F_ang.wav
347,3,script,F,ang,347_3_script_F_ang.wav
348,3,script,F,ang,348_3_script_F_ang.wav
349,3,script,F,ang,349_3_script_F_ang.wav
350,3,script,F,ang,350_3_script_F_ang.wav
351,1,impro,M,ang,351_1_impro_M_ang.wav
352,1,impro,M,ang,352_1_impro_M_ang.wav
353,1,impro,M,ang,353_1_impro_M_ang.wav
354,3,script,M,ang,354_3_script_M_ang.wav
355,3,script,M,ang,355_3_script_M_ang.wav
356,3,script,M,ang,356_3_script_M_ang.wav
357,3,impro,M,ang,357_3_impro_M_ang.wav
358,3,impro,M,ang,358_3_impro_M_ang.wav
359,3,impro,M,ang,359_3_impro_M_ang.wav
360,4,script,M,ang,360_4_script_M_ang.wav
361,4,script,M,ang,361_4_script_M_ang.wav
362,4,script,M,ang,362_4_script_M_ang.wav
363,1,script,M,ang,363_1_script_M_ang.wav
364,1,script,M,ang,364_1_script_M_ang.wav
365,1,script,M,ang,365_1_script_M_ang.wav
366,2,script,F,ang,366_2_script_F_ang.wav
367,2,script,F,ang,367_2_script_F_ang.wav
368,2,script,F,ang,368_2_script_F_ang.wav
369,2,script,M,ang,369_2_script_M_ang.wav
370,2,script,M,ang,370_2_script_M_ang.wav
371,2,script,M,ang,371_2_script_M_ang.wav
372,1,impro,F,ang,372_1_impro_F_ang.wav
373,1,impro,F,ang,373_1_impro_F_ang.wav
374,1,impro,F,ang,374_1_impro_F_ang.wav
375,5,script,M,ang,375_5_script_M_ang.wav
376,5,script,M,ang,376_5_script_M_ang.wav
377,5,script,M,ang,377_5_script_M_ang.wav
378,3,script,F,ang,378_3_script_F_ang.wav
379,3,script,F,ang,379_3_script_F_ang.wav
380,3,script,F,ang,380_3_script_F_ang.wav
381,1,impro,F,ang,381_1_impro_F_ang.wav
382,1,impro,F,ang,382_1_impro_F_ang.wav
383,1,impro,F,ang,383_1_impro_F_ang.wav
384,3,impro,M,ang,384_3_impro_M_ang.wav
385,3,impro,M,ang,385_3_impro_M_ang.wav
386,3,impro,M,ang,386_3_impro_M_ang.wav
387,1,script,M,ang,387_1_script_M_ang.wav
388,1,script,M,ang,388_1_script_M_ang.wav
389,1,script,M,ang,389_1_script_M_ang.wav
390,3,script,M,ang,390_3_script_M_ang.wav
391,3,script,M,ang,391_3_script_M_ang.wav
392,3,script,M,ang,392_3_script_M_ang.wav
393,4,script,M,ang,393_4_script_M_ang.wav
394,4,script,M,ang,394_4_script_M_ang.wav
395,4,script,M,ang,395_4_script_M_ang.wav
396,1,script,F,ang,396_1_script_F_ang.wav
397,1,script,F,ang,397_1_script_F_ang.wav
398,1,script,F,ang,398_1_script_F_ang.wav
399,4,impro,F,ang,399_4_impro_F_ang.wav
400,4,impro,F,ang,400_4_impro_F_ang.wav
401,4,impro,F,ang,401_4_impro_F_ang.wav
402,4,script,M,ang,402_4_script_M_ang.wav
403,4,script,M,ang,403_4_script_M_ang.wav
404,4,script,M,ang,404_4_script_M_ang.wav
405,1,impro,F,ang,405_1_impro_F_ang.wav
406,1,impro,F,ang,406_1_impro_F_ang.wav
407,1,impro,F,ang,407_1_impro_F_ang.wav
408,3,script,F,ang,408_3_script_F_ang.wav
409,3,script,F,ang,409_3_script_F_ang.wav
410,3,script,F,ang,410_3_script_F_ang.wav
411,4,script,M,ang,411_4_script_M_ang.wav
412,4,script,M,ang,412_4_script_M_ang.wav
413,4,script,M,ang,413_4_script_M_ang.wav
414,3,script,F,ang,414_3_script_F_ang.wav
415,3,script,F,ang,415_3_script_F_ang.wav
416,3,script,F,ang,416_3_script_F_ang.wav
417,4,script,M,ang,417_4_script_M_ang.wav
418,4,script,M,ang,418_4_script_M_ang.wav
419,4,script,M,ang,419_4_script_M_ang.wav
420,4,script,F,ang,420_4_script_F_ang.wav
421,4,script,F,ang,421_4_script_F_ang.wav
422,4,script,F,ang,422_4_script_F_ang.wav
423,1,script,M,ang,423_1_script_M_ang.wav
424,1,script,M,ang,424_1_script_M_ang.wav
425,1,script,M,ang,425_1_script_M_ang.wav
426,2,script,F,ang,426_2_script_F_ang.wav
427,2,script,F,ang,427_2_script_F_ang.wav
428,2,script,F,ang,428_2_script_F_ang.wav
429,4,impro,F,ang,429_4_impro_F_ang.wav
430,4,impro,F,ang,430_4_impro_F_ang.wav
431,4,impro,F,ang,431_4_impro_F_ang.wav
432,4,script,M,ang,432_4_script_M_ang.wav
433,4,script,M,ang,433_4_script_M_ang.wav
434,4,script,M,ang,434_4_script_M_ang.wav
435,1,script,F,ang,435_1_script_F_ang.wav
436,1,script,F,ang,436_1_script_F_ang.wav
437,1,script,F,ang,437_1_script_F_ang.wav
438,1,script,M,ang,438_1_script_M_ang.wav
439,1,script,M,ang,439_1_script_M_ang.wav
440,1,script,M,ang,440_1_script_M_ang.wav
441,3,script,F,ang,441_3_script_F_ang.wav
442,3,script,F,ang,442_3_script_F_ang.wav
443,3,script,F,ang,443_3_script_F_ang.wav
444,4,script,M,ang,444_4_script_M_ang.wav
445,4,script,M,ang,445_4_script_M_ang.wav
446,4,script,M,ang,446_4_script_M_ang.wav
447,3,script,F,ang,447_3_script_F_ang.wav
448,3,script,F,ang,448_3_script_F_ang.wav
449,3,script,F,ang,449_3_script_F_ang.wav
450,5,script,M,ang,450_5_script_M_ang.wav
451,5,script,M,ang,451_5_script_M_ang.wav
452,5,script,M,ang,452_5_script_M_ang.wav
453,4,script,F,ang,453_4_script_F_ang.wav
454,4,script,F,ang,454_4_script_F_ang.wav
455,4,script,F,ang,455_4_script_F_ang.wav
456,3,script,M,ang,456_3_script_M_ang.wav
457,3,script,M,ang,457_3_script_M_ang.wav
458,3,script,M,ang,458_3_script_M_ang.wav
459,4,script,M,ang,459_4_script_M_ang.wav
460,4,script,M,ang,460_4_script_M_ang.wav
461,4,script,M,ang,461_4_script_M_ang.wav
462,4,script,M,ang,462_4_script_M_ang.wav
463,4,script,M,ang,463_4_script_M_ang.wav
464,4,script,M,ang,464_4_script_M_ang.wav
465,2,impro,M,ang,465_2_impro_M_ang.wav
466,2,impro,M,ang,466_2_impro_M_ang.wav
467,2,impro,M,ang,467_2_impro_M_ang.wav
468,4,script,M,ang,468_4_script_M_ang.wav
469,4,script,M,ang,469_4_script_M_ang.wav
470,4,script,M,ang,470_4_script_M_ang.wav
471,4,script,M,ang,471_4_script_M_ang.wav
472,4,script,M,ang,472_4_script_M_ang.wav
473,4,script,M,ang,473_4_script_M_ang.wav
474,4,impro,M,ang,474_4_impro_M_ang.wav
475,4,impro,M,ang,475_4_impro_M_ang.wav
476,4,impro,M,ang,476_4_impro_M_ang.wav
477,2,script,F,ang,477_2_script_F_ang.wav
478,2,script,F,ang,478_2_script_F_ang.wav
479,2,script,F,ang,479_2_script_F_ang.wav
480,4,script,M,ang,480_4_script_M_ang.wav
481,4,script,M,ang,481_4_script_M_ang.wav
482,4,script,M,ang,482_4_script_M_ang.wav
483,4,impro,F,ang,483_4_impro_F_ang.wav
484,4,impro,F,ang,484_4_impro_F_ang.wav
485,4,impro,F,ang,485_4_impro_F_ang.wav
486,1,impro,F,ang,486_1_impro_F_ang.wav
487,1,impro,F,ang,487_1_impro_F_ang.wav
488,1,impro,F,ang,488_1_impro_F_ang.wav
489,5,script,F,ang,489_5_script_F_ang.wav
490,5,script,F,ang,490_5_script_F_ang.wav
491,5,script,F,ang,491_5_script_F_ang.wav
492,3,script,M,ang,492_3_script_M_ang.wav
493,3,script,M,ang,493_3_script_M_ang.wav
494,3,script,M,ang,494_3_script_M_ang.wav
495,3,impro,F,ang,495_3_impro_F_ang.wav
496,3,impro,F,ang,496_3_impro_F_ang.wav
497,3,impro,F,ang,497_3_impro_F_ang.wav
498,1,script,M,ang,498_1_script_M_ang.wav
499,1,script,M,ang,499_1_script_M_ang.wav
500,1,script,M,ang,500_1_script_M_ang.wav
501,5,script,M,ang,501_5_script_M_ang.wav
502,5,script,M,ang,502_5_script_M_ang.wav
503,5,script,M,ang,503_5_script_M_ang.wav
504,2,script,F,ang,504_2_script_F_ang.wav
505,2,script,F,ang,505_2_script_F_ang.wav
506,2,script,F,ang,506_2_script_F_ang.wav
507,4,script,F,ang,507_4_script_F_ang.wav
508,4,script,F,ang,508_4_script_F_ang.wav
509,4,script,F,ang,509_4_script_F_ang.wav
510,1,impro,M,ang,510_1_impro_M_ang.wav
511,1,impro,M,ang,511_1_impro_M_ang.wav
512,1,impro,M,ang,512_1_impro_M_ang.wav
513,2,script,F,ang,513_2_script_F_ang.wav
514,2,script,F,ang,514_2_script_F_ang.wav
515,2,script,F,ang,515_2_script_F_ang.wav
516,3,impro,M,ang,516_3_impro_M_ang.wav
517,3,impro,M,ang,517_3_impro_M_ang.wav
518,3,impro,M,ang,518_3_impro_M_ang.wav
519,3,script,M,ang,519_3_script_M_ang.wav
520,3,script,M,ang,520_3_script_M_ang.wav
521,3,script,M,ang,521_3_script_M_ang.wav
522,1,impro,M,ang,522_1_impro_M_ang.wav
523,1,impro,M,ang,523_1_impro_M_ang.wav
524,1,impro,M,ang,524_1_impro_M_ang.wav
525,1,impro,M,ang,525_1_impro_M_ang.wav
526,1,impro,M,ang,526_1_impro_M_ang.wav
527,1,impro,M,ang,527_1_impro_M_ang.wav
528,3,script,M,ang,528_3_script_M_ang.wav
529,3,script,M,ang,529_3_script_M_ang.wav
530,3,script,M,ang,530_3_script_M_ang.wav
531,1,impro,M,ang,531_1_impro_M_ang.wav
532,1,impro,M,ang,532_1_impro_M_ang.wav
533,1,impro,M,ang,533_1_impro_M_ang.wav
534,5,script,M,ang,534_5_script_M_ang.wav
535,5,script,M,ang,535_5_script_M_ang.wav
536,5,script,M,ang,536_5_script_M_ang.wav
537,2,script,F,ang,537_2_script_F_ang.wav
538,2,script,F,ang,538_2_script_F_ang.wav
539,2,script,F,ang,539_2_script_F_ang.wav
540,1,impro,M,ang,540_1_impro_M_ang.wav
541,1,impro,M,ang,541_1_impro_M_ang.wav
542,1,impro,M,ang,542_1_impro_M_ang.wav
543,3,script,F,ang,543_3_script_F_ang.wav
544,3,script,F,ang,544_3_script_F_ang.wav
545,3,script,F,ang,545_3_script_F_ang.wav
